,scores,name,has_open_top,has_open_bottom
1803,-0.3042040173394129,BB47CHm0003,False,True
1804,0.9802487433356438,BB47CHm0004,False,False
1805,0.2950544597271472,BB47CHm0005,False,True
1807,0.8451812422117567,BB47CHm0007,False,False
1808,-0.6743799297482677,BB47CHm0008,False,True
1812,1.4160274991346764,BB47CHm0012,False,False
1813,0.8485646519658319,BB47CHm0013,False,False
1815,-0.5033858091015502,BB47CHm0015,False,True
1821,-0.28376544185182,BB47CHm0021,False,True
1822,0.42205392244546347,BB47CHm0022,False,False
1823,0.8447075726390373,BB47CHm0023,False,False
1825,2.1351738583888538,BB47CHm0025,False,False
1826,-1.1226380383248082,BB47CHm0026,False,True
1828,-0.2489101366519577,BB47CHm0028,False,True
1830,0.6068563124970674,BB47CHm0030,False,False
1832,-1.4472462858441697,BB47CHm0032,False,True
1835,1.618026663392731,BB47CHm0035,False,False
1836,-0.3117539213116896,BB47CHm0036,False,True
1837,-0.4030443885348411,BB47CHm0037,False,True
1841,-1.2039145683237789,BB47CHm0041,False,True
1842,0.7208358446924161,BB47CHm0042,False,False
1846,1.7318607190862212,BB47CHm0046,False,False
1851,0.745808944328913,BB47CHm0051,False,False
1852,-0.4911207854432346,BB47CHm0052,False,True
1864,2.6472239151736874,BB47CHm0064,False,False
1865,0.9552421991269644,BB47CHm0065,False,False
1866,-0.2318332598453787,BB47CHm0066,False,True
1870,-0.9843962805744758,BB47CHm0070,False,True
1871,1.867184933776286,BB47CHm0071,False,False
1873,1.2915210489717948,BB47CHm0073,False,False
1874,1.0095765446604332,BB47CHm0074,False,False
1880,-0.20793599076473784,BB47CHm0080,False,True
1887,-0.7214546933480992,BB47CHm0087,False,True
1896,1.1864098647255212,BB47CHm0096,False,False
1899,-0.2990328611747953,BB47CHm0099,False,True
1900,-0.4842179540985812,BB47CHm0100,False,True
1902,-0.024519764784293685,BB47CHm0102,False,True
1906,0.5507005450688071,BB47CHm0106,False,False
1909,-0.4595169606662944,BB47CHm0109,False,True
1911,0.22599189738185765,BB47CHm0111,False,True
1913,-0.7289698189737861,BB47CHm0113,False,True
1914,1.2156694069030192,BB47CHm0114,False,False
1919,-0.5041748756109068,BB47CHm0119,False,True
1923,0.5599686645681199,BB47CHm0123,False,False
1925,2.55261224026884,BB47CHm0125,False,False
1926,-0.3467250553898358,BB47CHm0126,False,True
1928,-0.6823773714625724,BB47CHm0128,False,True
1932,0.13966886570194992,BB47CHm0132,False,True
1940,1.820430577726872,BB47CHm0140,False,False
1943,-0.42805682024187386,BB47CHm0143,False,True
1946,-1.2128138908466517,BB47CHm0146,False,True
1950,-0.09772469226285167,BB47CHm0150,False,True
1953,1.1566735637312884,BB47CHm0153,False,False
1954,0.002752842323098248,BB47CHm0154,False,True
1955,-0.2331846453552379,BB47CHm0155,False,True
1958,0.44617242463372253,BB47CHm0158,False,False
1959,-0.3791701141551704,BB47CHm0159,False,True
1960,-0.2099082632045164,BB47CHm0160,False,True
1963,-0.9068620135113722,BB47CHm0163,False,True
1964,1.466128039620504,BB47CHm0164,False,False
1968,1.211270503513019,BB47CHm0168,False,False
1969,2.5807772455647875,BB47CHm0169,False,False
1970,-0.15784922736468351,BB47CHm0170,False,True
1980,-0.5349815415959588,BB47CHm0180,False,True
1985,0.916592950916984,BB47CHm0185,False,False
1986,0.5056491769673224,BB47CHm0186,False,False
1989,-0.6159399792110318,BB47CHm0189,False,True
1990,-1.0617869299902476,BB47CHm0190,False,True
1991,1.3993282023368054,BB47CHm0191,False,False
1995,0.7788384047298443,BB47CHm0195,False,False
1998,1.8840683749627265,BB47CHm0198,False,False
1999,1.7330379518392547,BB47CHm0199,False,False
2004,-0.1008984035288472,BB47CHm0204,False,True
2010,0.7408155791483879,BB47CHm0210,False,False
2013,-0.39843931732021737,BB47CHm0213,False,True
2016,1.6000522045590433,BB47CHm0216,False,False
2018,1.6628990771551644,BB47CHm0218,False,False
2019,2.0555993180051644,BB47CHm0219,False,False
2020,-0.1775949577409517,BB47CHm0220,False,True
2021,-0.3170321308507124,BB47CHm0221,False,True
2022,1.743130050286561,BB47CHm0222,False,False
2026,1.8788158088082112,BB47CHm0226,False,False
2027,0.7575130808277537,BB47CHm0227,False,False
2032,0.06474646782003815,BB47CHm0232,False,True
2033,0.32892342247431605,BB47CHm0233,False,False
2038,-0.13931901519060585,BB47CHm0238,False,False
2040,-0.35222232127270137,BB47CHm0240,False,True
2042,0.4070213598691316,BB47CHm0242,False,False
2043,-0.0680912666696972,BB47CHm0243,False,True
2046,-0.25364682226124496,BB47CHm0246,False,True
2047,1.5353271329218998,BB47CHm0247,False,False
2048,0.29862026953867504,BB47CHm0248,False,False
2057,2.4763320459301346,BB47CHm0257,False,False
2061,-0.5244471531742891,BB47CHm0261,False,True
2064,2.0209735267406206,BB47CHm0264,False,False
2065,4.017170933616008,BB47CHm0265,False,False
2066,1.3619080771547347,BB47CHm0266,False,False
2068,2.1192783317039043,BB47CHm0268,False,False
2074,1.3779350832941633,BB47CHm0274,False,False
2075,0.4910738648287093,BB47CHm0275,False,False
2076,1.1168097843648872,BB47CHm0276,False,False
2077,-0.587122852675147,BB47CHm0277,False,True
2078,-0.4102673414136814,BB47CHm0278,False,True
2080,2.6723714355367933,BB47CHm0280,False,False
2082,-0.3084043753746836,BB47CHm0282,False,False
2084,2.246811800314224,BB47CHm0284,False,False
2087,1.4227712275876958,BB47CHm0287,False,False
2093,-0.25675044315991924,BB47CHm0293,False,True
2094,-0.14386380591445647,BB47CHm0294,False,True
2095,2.312050929593307,BB47CHm0295,False,False
2099,1.2089753254811313,BB47CHm0299,False,False
2102,-0.30587801069147696,BB47CHm0302,False,False
2106,0.8828733968636568,BB47CHm0306,False,False
2114,0.52946087979838,BB47CHm0314,False,False
2119,0.9954549435260452,BB47CHm0319,False,False
2122,1.873319843165184,BB47CHm0322,False,False
2125,2.289516151559165,BB47CHm0325,False,False
2126,1.1096378687693793,BB47CHm0326,False,False
2135,0.3603698224220903,BB47CHm0335,False,False
2136,1.350104089384111,BB47CHm0336,False,False
2139,-0.1862851046073044,BB47CHm0339,False,True
2143,-0.06859641314623699,BB47CHm0343,False,True
2147,-0.28890009634851915,BB47CHm0347,False,True
2152,-0.0410043937719458,BB47CHm0352,False,True
2153,1.3953183439347026,BB47CHm0353,False,False
2155,-0.6893862264574011,BB47CHm0355,False,True
2157,-0.27478710481053104,BB47CHm0357,False,True
2158,1.611061393989223,BB47CHm0358,False,False
2164,2.0858118687175167,BB47CHm0364,False,False
2165,-0.4631984490022199,BB47CHm0365,False,True
2167,1.295388632496532,BB47CHm0367,False,False
2169,1.6192894386728929,BB47CHm0369,False,False
2170,0.2383775923809989,BB47CHm0370,False,False
2171,0.44501701532623344,BB47CHm0371,False,False
2174,2.0775878703255266,BB47CHm0374,False,False
2177,-0.22757742298573674,BB47CHm0377,False,True
2178,0.7518450056910043,BB47CHm0378,False,False
2179,0.056709430339576115,BB47CHm0379,False,True
2180,-0.5247561382024837,BB47CHm0380,False,True
2184,1.1634422730141531,BB47CHm0384,False,False
2185,0.5113016401983594,BB47CHm0385,False,False
2187,-0.26464681619003605,BB47CHm0387,False,True
2190,-0.29788459093749353,BB47CHm0390,False,True
2194,1.9374778433962268,BB47CHm0394,False,False
2196,0.7254003873536589,BB47CHm0396,False,False
2197,-0.4021906201109716,BB47CHm0397,False,True
2198,1.8904066636900703,BB47CHm0398,False,False
2199,-0.02359678239785559,BB47CHm0399,False,True
2201,0.5525984943397189,BB47CHm0401,False,True
2203,-0.4119077199249838,BB47CHm0403,False,True
2204,-0.5177792895410821,BB47CHm0404,False,True
2206,2.447580254375168,BB47CHm0406,False,False
2208,0.35758819726636937,BB47CHm0408,False,False
2210,1.7410966077162726,BB47CHm0410,False,False
2211,-0.4923376724099506,BB47CHm0411,False,True
2212,2.2419306835684822,BB47CHm0412,False,False
2216,0.2597578367312806,BB47CHm0416,False,False
2217,0.4303608219880624,BB47CHm0417,False,False
2218,-0.2601803220873345,BB47CHm0418,False,True
2220,-0.34641801285272245,BB47CHm0420,False,True
2221,-0.6005100572122561,BB47CHm0421,False,True
2222,1.1616115464506291,BB47CHm0422,False,False
2226,0.28545224821872994,BB47CHm0426,False,False
2228,-0.061540786247116674,BB47CHm0428,False,True
2230,-0.1294216964282756,BB47CHm0430,False,False
2231,1.2234271647296622,BB47CHm0431,False,False
2232,1.1906076053200183,BB47CHm0432,False,False
2233,-0.5761932183665635,BB47CHm0433,False,True
2234,-0.4148436464505499,BB47CHm0434,False,False
2235,1.7665803764582317,BB47CHm0435,False,False
2239,-0.4744089093223866,BB47CHm0439,False,True
2240,1.6877217732612932,BB47CHm0440,False,False
