Design tryp_calc_EC50 chymo_calc_EC50 tryp_low_EC50 chymo_low_EC50 tryp_high_EC50 chymo_high_EC50 tryp_width_EC50 chymo_width_EC50 tryp_unfolded_EC50 chymo_unfolded_EC50
BMZQQOSL 4.65545371354 4.26605157522 4.5 4.2 4.9 4.3 0.4 0.1 0.06 -0.34
TPKPUBPV 4.41069149285 2.95450155812 4.3 2.5 4.5 3.0 0.2 0.5 -0.36 -0.41
BCCDTBZW 2.2457098327 1.16556824541 2.2 0.4 2.3 1.4 0.1 1.0 -0.31 -0.64
scr_VEXGUHZK 0.305690467783 0.494018632067 -0.2 0.2 0.7 1.2 0.9 1.0 -0.35 -0.23
BB45nHm0283 0.0319514426166 0.637237744379 -0.5 0.2 0.7 1.4 1.2 1.2 -0.44 -0.44
EGMFNANW 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 0.28 0.33
FXJPEFXI 3.40637822602 2.80449353082 3.2 2.6 3.7 3.1 0.5 0.5 -0.23 -0.43
XVEBTOSH 3.35480476037 1.05622514354 3.3 0.9 3.4 1.2 0.1 0.3 0.00 -0.24
SFEEDJWB 4.32520347593 0.550928408388 4.2 0.3 4.5 0.9 0.3 0.6 -0.50 -1.01
EOMCJGVO 2.74406036228 2.13444192428 2.6 1.5 3.1 2.6 0.5 1.1 0.12 0.18
BMZEAXAB 4.93604081876 2.92185015269 4.9 2.9 5.0 3.0 0.1 0.1 0.24 -0.03
MYIKMBAE 5.03027085897 4.2726057171 5.0 4.3 5.1 4.3 0.1 0.0 -0.17 0.06
QZZRKJCQ 4.31536762434 2.49214786583 4.2 2.4 4.4 2.6 0.2 0.2 -0.51 -0.92
YQTAKINJ 3.61025806425 1.02109121158 3.4 0.6 4.5 1.6 1.1 1.0 -0.16 -0.35
OWBRKIJS 3.2378310699 3.25335455974 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.08 0.13
SUQODXTQ 5.14810899181 4.20055404668 5.0 4.2 5.2 4.2 0.2 0.0 0.30 -0.02
BB45nHm0492 -0.113724613094 -0.123063166604 -0.5 -0.5 0.2 0.2 0.7 0.7 0.51 0.99
NYPXLKSK 3.66737528054 2.09509246723 3.6 2.0 4.0 2.2 0.4 0.2 -0.32 -0.35
RPNXQPEF 2.51203688919 2.11137934226 2.4 2.0 2.7 2.2 0.3 0.2 -0.67 -0.46
