pdb,arbitrary_family_num
SRDZGVNZ_BasicBeNTF2_designed_0000.pdb,0
KUTISGCU_BasicBeNTF2_designed_0000.pdb,0
XMIQHMIW_BasicBeNTF2_designed_0000.pdb,0
EXRTULGD_BasicBeNTF2_designed_0000.pdb,0
PISMRVCI_BasicBeNTF2_designed_0000.pdb,0
EUWYBEHV_BasicBeNTF2_designed_0000.pdb,0
WXSGOYTW_BasicBeNTF2_designed_0000.pdb,0
KKIGAVTS_BasicBeNTF2_designed_0000.pdb,0
JEOQIUEL_BasicBeNTF2_designed_0000.pdb,0
JFRBWKOY_BasicBeNTF2_designed_0000.pdb,0
IFKSNNCT_BasicBeNTF2_designed_0000.pdb,0
XZSOZGNR_BasicBeNTF2_designed_0000.pdb,0
KDQXOOYP_BasicBeNTF2_designed_0000.pdb,0
QWPUACJW_BasicBeNTF2_designed_0000.pdb,0
WRFLQXJL_BasicBeNTF2_designed_0000.pdb,0
OZVNFUJP_BasicBeNTF2_designed_0000.pdb,0
DUOJACZM_BasicBeNTF2_designed_0000.pdb,0
AIKKXFJL_BasicBeNTF2_designed_0000.pdb,0
VSTPKBIB_BasicBeNTF2_designed_0000.pdb,0
GBTTTYPJ_BasicBeNTF2_designed_0000.pdb,0
IMCKJQHA_BasicBeNTF2_designed_0000.pdb,1
WLZFCQPO_BasicBeNTF2_designed_0000.pdb,1
XYGSADXX_BasicBeNTF2_designed_0000.pdb,1
UCSBDFXY_BasicBeNTF2_designed_0000.pdb,1
GVNCXBOU_BasicBeNTF2_designed_0000.pdb,1
FWZLVCTF_BasicBeNTF2_designed_0000.pdb,1
MYWERJXF_BasicBeNTF2_designed_0000.pdb,1
XGZSYNHW_BasicBeNTF2_designed_0000.pdb,1
DUEVDXTX_BasicBeNTF2_designed_0000.pdb,1
SALLCEIX_BasicBeNTF2_designed_0000.pdb,1
YXQTUTDL_BasicBeNTF2_designed_0000.pdb,1
NMXBMGBU_BasicBeNTF2_designed_0000.pdb,1
YJLJHKBK_BasicBeNTF2_designed_0000.pdb,1
CHOPLBYJ_BasicBeNTF2_designed_0000.pdb,1
ZXXQWYPV_BasicBeNTF2_designed_0000.pdb,1
IGDVGNYW_BasicBeNTF2_designed_0000.pdb,1
KHXPFRLX_BasicBeNTF2_designed_0000.pdb,1
OXHRFYPN_BasicBeNTF2_designed_0000.pdb,1
ERWWKKJR_BasicBeNTF2_designed_0000.pdb,1
AAAHLCIJ_BasicBeNTF2_designed_0000.pdb,1
AABPQGGD_BasicBeNTF2_designed_0000.pdb,2
QAVWMBQZ_BasicBeNTF2_designed_0000.pdb,2
NVHIHYMU_BasicBeNTF2_designed_0000.pdb,2
BQDGTVGD_BasicBeNTF2_designed_0000.pdb,2
AORBOUBY_BasicBeNTF2_designed_0000.pdb,2
VEZVGTIQ_BasicBeNTF2_designed_0000.pdb,2
GTQQTUCQ_BasicBeNTF2_designed_0000.pdb,2
LWQZIKBG_BasicBeNTF2_designed_0000.pdb,2
TFNZEWSK_BasicBeNTF2_designed_0000.pdb,2
MWNQTXDN_BasicBeNTF2_designed_0000.pdb,2
BDHUVNMP_BasicBeNTF2_designed_0000.pdb,2
PYKYEMQR_BasicBeNTF2_designed_0000.pdb,2
YCRMVLDP_BasicBeNTF2_designed_0000.pdb,2
NPZLRZHO_BasicBeNTF2_designed_0000.pdb,2
TZWOZUSA_BasicBeNTF2_designed_0000.pdb,2
RXYEVLRS_BasicBeNTF2_designed_0000.pdb,2
KPMZNTML_BasicBeNTF2_designed_0000.pdb,2
KDYJDQGU_BasicBeNTF2_designed_0000.pdb,2
PSSQSDOD_BasicBeNTF2_designed_0000.pdb,2
CWRMRRYX_BasicBeNTF2_designed_0000.pdb,2
CFHHPSRP_BasicBeNTF2_designed_0000.pdb,3
ADHCTOIJ_BasicBeNTF2_designed_0000.pdb,3
XDUIJGSV_BasicBeNTF2_designed_0000.pdb,3
ZLOPREVN_BasicBeNTF2_designed_0000.pdb,3
SUFZYBOP_BasicBeNTF2_designed_0000.pdb,3
KMYQOGRV_BasicBeNTF2_designed_0000.pdb,3
EHLAYVUG_BasicBeNTF2_designed_0000.pdb,3
BQHIJPLB_BasicBeNTF2_designed_0000.pdb,3
KHBCCNKI_BasicBeNTF2_designed_0000.pdb,3
UEIYFVRE_BasicBeNTF2_designed_0000.pdb,3
CDBFEMAS_BasicBeNTF2_designed_0000.pdb,3
WOYNJRUI_BasicBeNTF2_designed_0000.pdb,3
AACATCRF_BasicBeNTF2_designed_0000.pdb,3
MVZMOHRY_BasicBeNTF2_designed_0000.pdb,3
WAJAWIIJ_BasicBeNTF2_designed_0000.pdb,3
UPDWKEPW_BasicBeNTF2_designed_0000.pdb,3
DIHWCOHO_BasicBeNTF2_designed_0000.pdb,3
DUJPGOFD_BasicBeNTF2_designed_0000.pdb,3
NXOZVKDZ_BasicBeNTF2_designed_0000.pdb,3
MEYHURVF_BasicBeNTF2_designed_0000.pdb,3
IPUUEUQM_BasicBeNTF2_designed_0000.pdb,4
COEPZTYF_BasicBeNTF2_designed_0000.pdb,4
FHKGCVFA_BasicBeNTF2_designed_0000.pdb,4
DHTEQRMW_BasicBeNTF2_designed_0000.pdb,4
HXTROCFS_BasicBeNTF2_designed_0000.pdb,4
JTYOZIKQ_BasicBeNTF2_designed_0000.pdb,4
HOJOECZC_BasicBeNTF2_designed_0000.pdb,4
MFGKPQPH_BasicBeNTF2_designed_0000.pdb,4
YZNILGUO_BasicBeNTF2_designed_0000.pdb,4
ZPVESGXE_BasicBeNTF2_designed_0000.pdb,4
BTBYHBAV_BasicBeNTF2_designed_0000.pdb,4
AACAXUOO_BasicBeNTF2_designed_0000.pdb,4
ERZLERLA_BasicBeNTF2_designed_0000.pdb,4
KBKVICJV_BasicBeNTF2_designed_0000.pdb,4
ZPFPNOQI_BasicBeNTF2_designed_0000.pdb,4
RAPITBQR_BasicBeNTF2_designed_0000.pdb,4
HOQHQDBH_BasicBeNTF2_designed_0000.pdb,4
SBIRYISZ_BasicBeNTF2_designed_0000.pdb,4
RLPMMTGU_BasicBeNTF2_designed_0000.pdb,4
